date,close
29-Aug-14,2965880
31-Aug-14,2965999
1-Sep-14,2966043
2-Sep-14,2973313
3-Sep-14,2974740
4-Sep-14,2974970
7-Sep-14,2979329
8-Sep-14,2979739
9-Sep-14,2979583
10-Sep-14,2979359
11-Sep-14,2989728
14-Sep-14,2993493
15-Sep-14,2995717
16-Sep-14,2995752
17-Sep-14,2998621
18-Sep-14,3002222
19-Sep-14,3003660
21-Sep-14,3003679
22-Sep-14,3004948
23-Sep-14,3005956
24-Sep-14,3007158
25-Sep-14,3008322
26-Sep-14,3009021
28-Sep-14,3009073
29-Sep-14,3026773
30-Sep-14,3007442
1-Oct-14,3008347
2-Oct-14,3023941
3-Oct-14,3024565
7-Oct-14,3025265
8-Oct-14,3026101
9-Oct-14,3019412
11-Oct-14,3018873
12-Oct-14,3018945
13-Oct-14,3019729
14-Oct-14,3020357
15-Oct-14,3022710
16-Oct-14,3022388
17-Oct-14,3020883
20-Oct-14,3019252
21-Oct-14,3024318
22-Oct-14,3025181
27-Oct-14,3025298
28-Oct-14,3024456
30-Oct-14,3023819
31-Oct-14,3093138
2-Nov-14,3092964
3-Nov-14,3094035
4-Nov-14,3094700
5-Nov-14,3095222
6-Nov-14,3095756
7-Nov-14,3096529
9-Nov-14,3096646
10-Nov-14,3096672
11-Nov-14,3097983
12-Nov-14,3098664
13-Nov-14,3100144
14-Nov-14,3101350
15-Nov-14,3104945
17-Nov-14,3105742
18-Nov-14,3106459
19-Nov-14,3106526
20-Nov-14,3106721
21-Nov-14,3108381
23-Nov-14,3108624
25-Nov-14,3107304
26-Nov-14,3104819
27-Nov-14,3105576
28-Nov-14,3105878
30-Nov-14,3203910
1-Dec-14,3203754
2-Dec-14,3201195
3-Dec-14,3201486
4-Dec-14,3202055
5-Dec-14,3203356
7-Dec-14,3205182
8-Dec-14,3205438
9-Dec-14,3205700
10-Dec-14,3206384
11-Dec-14,3206723
12-Dec-14,3206574
15-Dec-14,3210897
16-Dec-14,3211480
17-Dec-14,3212602
18-Dec-14,3214466
21-Dec-14,3214466
22-Dec-14,3216677
23-Dec-14,3217906
24-Dec-14,3218302
26-Dec-14,3218819
28-Dec-14,3218819
29-Dec-14,3222120
30-Dec-14,3222565
31-Dec-14,3718001
2-Jan-15,3718507
4-Jan-15,3718980
5-Jan-15,3718314
6-Jan-15,3719350
7-Jan-15,3719487
8-Jan-15,3719959
12-Jan-15,3718464
13-Jan-15,3718477
14-Jan-15,3718404
15-Jan-15,3723137
18-Jan-15,3723255
19-Jan-15,3723230
20-Jan-15,3722895
